Town,Total,White,Black / African American,American Indian / Alaska Native,Asian,Hispanic,Native Hawaiian / Pacific Islander,Some other race,Two or more races,Male,Female,Under 5 years,5 to 17 years,18 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 64 years,65 to 74 years,75 years and over,Median Age,Population in Households,Population in Group Quarters,Total Lang,Speak only English,Speak some other language,"Speak English ""very well""","Speak English ""well""","Speak English ""not well""","Speak English ""not at all""",Total MF,Male,Female,Working,Drove Alone,Carpooled,Bus or Trolley Bus,Streetcar or Trolley Car,Subway or Elevated,Railroad,Ferryboat,Taxicab,Motorcycle,Bicycle,  Walked,Other Means,Worked at Home,Mean Travel Time to Work (min),Total households,Average household size,1 Person Household,2 Person Household,3 Person Household,4 Person Household,5 Person Household,6 Person Household,7+ Person Household,Average Vehicles per Household,No vehicle available,1 vehicle available,2 vehicles available,3 vehicles available,4 vehicles available,5 or more vehicles available,Median household income ($),"Under 10,000","10,000 to 19,999","20,000 to 29,999","30,000 to 39,999","40,000 to 49,999","50,000 to 59,999","60,000 to 74,999","75,000 to 99,999","100,000 to 124,999","125,000 to 149,999","150,000 to 199,999","200,000 and up"
Wareham,21822,18594,728,125,147,502,5,850,871,10498,11324,1168,3383,1663,2190,2697,3646,3282,2082,1711,44,21592,230,20654,19628,1026,783,168,75,0,17713,8463,9250,2955,2737,43,0,0,18,30,0,0,0,0,0,0,127,28.4,9071,2.38,2698,3122,1475,1093,418,168,97,1.77,420,3574,3545,959,380,193,54451,748,932,686,764,883,916,878,1302,1013,542,285,122
Warren,5135,4893,29,10,17,120,2,3,61,2556,2579,292,933,457,567,731,892,642,335,286,40,5130,5,4843,4509,334,171,62,9,92,4165,1995,2170,599,514,48,0,0,0,0,0,0,3,0,6,3,25,29.8,2021,2.54,514,685,350,284,120,44,24,1.74,122,780,751,277,46,45,55030,94,111,265,329,139,219,184,320,146,79,71,64
Warwick,780,754,0,4,7,8,0,0,7,389,391,33,114,49,59,81,171,157,75,41,48,780,0,747,706,41,33,8,0,0,491,247,244,862,740,85,3,0,0,0,0,0,0,0,6,8,20,35.9,329,2.37,78,148,43,34,18,5,3,2.13,0,89,127,97,12,4,67554,12,15,17,44,52,21,56,55,31,13,9,4
Washington,538,526,1,0,0,10,0,0,1,273,265,21,68,30,41,69,100,140,42,27,49,538,0,517,487,30,17,8,5,0,515,265,250,3842,3155,468,11,0,0,9,0,0,0,0,136,0,63,24,225,2.39,44,105,37,26,9,4,0,2.23,3,36,111,57,18,0,68906,7,12,17,8,26,21,35,51,24,19,0,5
Watertown,31915,26065,883,25,2286,1688,10,244,714,14954,16961,1823,3128,2226,6928,4849,4393,3786,2249,2533,38,31681,234,30092,20975,9117,5583,1875,1510,149,27541,12758,14783,22141,15057,2305,384,28,334,1437,0,71,0,131,1523,159,712,26.5,14709,2.15,5260,5114,2182,1444,494,151,64,1.48,1543,6335,5473,939,383,36,74081,540,982,1172,889,936,1151,1795,2355,1731,1079,1213,866
Wayland,12994,11082,101,4,1284,315,2,21,185,6271,6723,662,2878,566,664,1640,2476,1970,1098,1040,45,12956,38,12332,10852,1480,1039,274,117,50,9707,4584,5123,4507,3645,416,29,0,10,58,0,0,33,0,38,40,238,29.7,4808,2.69,973,1573,851,916,372,105,18,1.98,147,1013,2666,782,187,13,129805,101,116,130,149,241,314,365,436,469,518,665,1304
Webster,16767,14658,420,46,178,1148,0,51,266,8110,8657,1022,2532,1409,2089,2292,2669,2111,1222,1421,41,16450,317,15745,13970,1775,1084,319,323,49,13532,6306,7226,450,375,20,0,0,4,0,0,0,0,0,0,16,35,27.9,7088,2.32,2237,2386,1121,850,352,100,42,1.53,779,2898,2559,663,107,82,48640,546,927,857,607,697,677,767,917,523,282,153,135
Wellesley,27982,23061,546,22,2742,1020,1,50,540,12336,15646,1570,5962,4434,1243,3330,4301,3277,1963,1902,38,24164,3818,26412,20919,5493,4319,683,315,176,21496,8778,12718,10273,8458,752,121,0,22,17,0,0,18,0,145,56,684,26,8695,2.78,1798,2687,1315,1782,835,225,53,1.83,414,2515,4262,1225,223,56,139784,382,340,346,399,291,247,426,676,794,691,908,3195
Wellfleet,2750,2635,22,7,13,41,0,7,25,1284,1466,82,287,123,222,269,461,574,405,327,54,2749,1,2668,2597,71,33,38,0,0,2768,1116,1652,13407,11037,979,431,0,292,99,0,8,0,33,190,0,338,22.5,1366,2.01,509,557,154,97,33,8,8,1.82,12,499,613,211,31,0,66109,26,138,84,84,116,170,170,190,99,37,155,97
Wendell,848,804,10,3,6,20,0,1,4,421,427,39,90,68,96,95,159,209,68,24,48,843,5,809,746,63,51,11,0,1,846,427,419,461,371,65,0,0,0,0,0,0,9,0,13,3,0,33.9,391,2.16,119,165,60,30,12,2,3,1.88,31,112,151,75,14,8,59500,8,58,52,16,32,31,49,36,53,41,9,6
Wenham,4875,4607,29,4,82,95,4,16,38,2206,2669,142,834,1413,192,426,702,517,294,355,27,3622,1253,4733,4423,310,244,36,30,0,3917,1774,2143,8586,6777,393,0,18,119,167,366,0,0,13,72,37,624,23,1358,2.67,315,423,232,227,117,37,7,2.08,36,319,677,186,115,25,132697,82,81,68,94,18,45,88,71,108,188,139,376
West Boylston,7669,6817,321,17,52,404,2,13,43,4246,3423,276,1063,502,928,968,1495,1091,577,769,46,6361,1308,7393,6754,639,285,259,82,13,6713,4297,2416,6661,5895,458,17,0,0,51,0,0,0,0,74,0,166,22.7,2616,2.43,677,954,437,349,143,43,13,1.9,10,1007,1009,450,112,28,79906,54,105,155,297,208,99,306,423,399,277,184,109
West Bridgewater,6916,6476,101,7,75,121,0,43,93,3400,3516,319,1177,462,642,1004,1121,934,588,669,44,6772,144,6597,6351,246,161,85,0,0,5524,2590,2934,8521,6057,484,40,0,91,1188,0,0,13,0,72,0,576,25,2571,2.63,599,852,431,392,207,65,25,2.11,112,614,1077,461,251,56,76277,69,257,210,131,132,254,207,392,377,170,190,182
West Brookfield,3701,3549,27,1,23,63,0,1,37,1759,1942,155,601,217,327,447,632,582,352,388,47,3543,158,3546,3326,220,190,30,0,0,3128,1493,1635,1709,1318,88,12,0,0,14,0,0,12,0,93,27,145,35.1,1479,2.4,387,575,223,180,79,26,9,1.91,97,441,593,229,89,30,61319,97,148,128,98,58,181,183,114,218,93,95,66
West Newbury,4235,4079,4,3,44,66,0,3,36,2104,2131,202,939,214,196,573,873,754,295,189,45,4227,8,4033,3729,304,272,32,0,0,3186,1632,1554,1155,941,76,0,0,0,0,0,0,0,0,55,0,83,31.4,1508,2.8,209,558,275,305,122,31,8,2.14,0,327,766,330,46,39,111739,16,71,42,106,85,116,112,128,131,222,194,285
West Springfield,28391,23306,841,34,1245,2471,14,34,446,13854,14537,1675,4327,2574,3772,3588,4435,3736,2077,2207,40,28221,170,26716,20220,6496,3206,1311,1564,415,22849,10924,11925,1962,1536,93,0,0,0,59,0,0,9,0,0,65,200,19.5,12124,2.33,4158,3847,1794,1337,597,232,159,1.59,999,5219,4248,1265,240,153,51358,871,1418,1448,1180,995,932,1438,1748,798,675,310,311
West Stockbridge,1306,1250,14,0,18,12,0,1,11,628,678,32,195,67,71,131,232,313,147,118,53,1303,3,1274,1205,69,62,7,0,0,1292,575,717,2923,2366,137,0,0,0,172,0,0,0,43,30,57,118,23,593,2.2,173,259,74,59,17,8,3,1.85,39,194,242,74,24,20,68750,18,69,23,49,52,49,72,88,68,47,38,20
West Tisbury,2740,2578,23,17,19,35,1,16,51,1308,1432,129,418,165,242,330,467,603,239,147,47,2710,30,2611,2438,173,162,0,11,0,1855,856,999,17454,14955,1187,44,0,19,202,0,59,13,15,163,79,718,19,1197,2.26,352,461,201,116,43,16,8,1.89,34,302,696,117,25,23,71667,57,56,99,39,117,108,203,172,94,69,98,85
Westborough,18272,13723,231,26,3181,717,4,88,302,8960,9312,1096,3580,1064,2204,2706,3212,2072,1097,1241,40,17808,464,17176,12587,4589,3305,830,356,98,13992,6959,7033,1059,886,65,0,0,0,0,0,0,3,3,23,0,79,27.9,6924,2.57,1791,2063,1224,1246,432,127,41,1.82,443,2203,2925,982,267,104,96069,117,404,425,144,450,404,750,966,837,512,817,1098
Westfield,41094,36330,543,56,526,3097,8,11,523,20090,21004,2198,6613,6058,4271,5075,6114,5156,2856,2753,38,38118,2976,38896,34285,4611,2317,1141,930,223,32836,15592,17244,8863,8078,345,98,0,19,0,16,0,34,13,82,28,150,23.8,15335,2.49,4210,5117,2558,2097,873,291,189,1.66,1249,5598,6081,2008,324,75,51620,1360,1873,1555,1318,1281,1303,1398,2048,1259,713,707,520
Westford,21951,18425,74,12,2761,333,1,31,314,10901,11050,1113,5397,1165,1318,3296,4742,2742,1389,789,42,21940,11,20838,18226,2612,2055,331,129,97,15822,7802,8020,46666,18724,4198,6447,271,8016,419,9,33,42,2152,4573,381,1401,29,7498,2.93,1092,2251,1440,1836,663,167,49,2.13,108,1178,4354,1413,370,75,121168,81,242,216,275,288,458,477,1014,875,796,1440,1336
Westhampton,1607,1558,2,1,8,30,0,2,6,773,834,73,277,93,105,209,346,294,127,83,47,1607,0,1534,1481,53,44,3,6,0,1304,607,697,9047,7095,470,38,0,6,0,0,0,0,51,582,42,763,29.3,623,2.58,107,260,105,109,27,11,4,2.23,9,112,317,120,41,24,81419,10,27,25,60,54,25,72,151,82,58,49,10
Westminster,7277,6868,62,11,73,193,0,7,63,3640,3637,319,1398,528,619,1036,1372,1170,468,367,43,7277,0,6958,6528,430,371,59,0,0,5734,2832,2902,3266,2802,328,0,0,0,0,0,0,0,0,29,29,78,27.6,2716,2.68,511,964,506,471,187,53,24,2.15,37,683,1129,610,219,38,79073,64,89,151,198,242,246,309,374,474,296,178,95
Weston,11261,9393,209,5,1114,294,0,34,212,5377,5884,505,2657,902,400,1152,2098,1547,935,1065,45,10633,628,10756,8805,1951,1589,192,153,17,8258,3748,4510,4746,4092,226,0,0,0,202,0,0,0,0,41,0,185,27.6,3776,2.82,747,1206,568,696,403,126,30,2.14,112,570,2047,834,138,75,148512,46,170,174,131,128,94,246,281,240,392,392,1482
Westport,15532,15056,67,5,103,138,4,36,123,7571,7961,661,2351,1040,1320,2229,2491,2489,1686,1265,46,15527,5,14871,12427,2444,1469,571,326,78,12614,5860,6754,7315,5708,1108,14,0,0,0,0,0,14,61,228,53,129,23.9,6154,2.52,1404,2283,1064,893,347,111,52,2.11,125,1577,2664,1297,291,200,68713,297,481,428,531,458,463,598,1206,664,374,319,335
Westwood,14618,13381,127,3,725,237,0,22,123,6963,7655,772,3499,664,672,1982,2550,1823,1103,1553,44,14590,28,13846,12422,1424,1121,194,109,0,10698,4967,5731,4929,4337,285,9,0,0,0,0,0,16,0,13,31,238,30.5,5249,2.78,1188,1516,784,1055,508,148,50,1.89,348,1233,2650,753,225,40,114250,210,298,367,193,220,192,303,496,554,385,769,1262
Weymouth,53743,47364,1527,87,1716,1412,10,764,863,25458,28285,3160,7966,3913,6932,7605,8896,7102,4145,4024,42,53283,460,50583,45091,5492,3768,1122,508,94,43408,20439,22969,5906,4942,679,0,0,0,0,0,0,0,0,108,0,177,29.7,22435,2.37,7246,7027,3453,2833,1259,429,188,1.64,1412,9130,8882,2243,568,200,65849,1174,1769,1607,1824,1846,1883,2529,3241,2488,1604,1567,903
Whately,1496,1440,12,0,6,26,1,0,11,749,747,63,209,98,137,157,299,309,114,110,48,1485,11,1433,1375,58,51,5,2,0,1386,771,615,56921,44043,6283,2786,32,42,0,0,111,8,75,1931,213,1397,20.9,626,2.37,163,251,90,84,22,10,6,2.09,14,138,309,113,45,7,74018,0,55,30,53,62,54,65,146,76,29,46,10
Whitman,14489,13603,176,32,108,267,5,93,205,7070,7419,944,2689,1212,1748,2227,2407,1727,885,650,38,14443,46,13545,12445,1100,806,226,68,0,11246,5519,5727,3976,3566,221,17,0,0,15,0,0,23,0,0,0,134,32.5,5300,2.73,1217,1546,997,886,434,146,74,1.98,216,1454,2249,1000,373,8,76277,248,362,308,232,427,400,648,1003,621,523,417,111
Wilbraham,14219,13108,277,4,285,393,1,16,135,6730,7489,571,2785,906,858,1721,2607,2094,1236,1441,46,13959,260,13648,12409,1239,815,204,106,114,11243,5271,5972,746,595,9,0,0,0,19,0,19,0,20,28,0,56,24.4,5309,2.63,1115,1861,923,873,398,112,27,2.08,216,1078,2668,921,286,140,89336,152,341,383,363,232,286,340,824,713,561,617,497
Williamsburg,2482,2369,8,0,20,49,0,8,28,1138,1344,112,346,119,218,321,490,504,196,176,48,2475,7,2370,2226,144,107,31,6,0,2202,1052,1150,10633,8988,600,72,0,382,102,0,13,0,12,124,47,293,27.1,1118,2.21,338,439,174,112,44,9,2,1.98,61,304,501,135,87,30,64545,88,47,74,81,79,118,141,191,118,42,91,48
Williamstown,7754,6587,212,6,398,320,1,16,214,3614,4140,242,798,2255,442,620,802,996,697,902,37,5470,2284,7512,6620,892,721,142,29,0,6752,3263,3489,13307,10974,877,48,27,89,409,0,17,0,20,328,157,361,15.9,2542,2.15,833,1019,322,255,79,26,8,1.67,195,987,1039,190,47,84,63045,129,341,219,167,163,185,257,243,256,159,226,197
Wilmington,22325,20600,162,15,831,403,12,39,263,10949,11376,1332,4333,1551,2108,3355,4124,2641,1476,1405,41,22067,258,20993,19644,1349,988,198,146,17,16758,7983,8775,3398,2868,142,0,0,0,51,0,0,0,0,0,49,288,28.2,7532,2.93,1183,2240,1464,1666,681,194,104,2.17,214,1269,3918,1414,570,147,94900,49,217,388,337,611,480,514,1377,1120,801,1025,613
Winchendon,10300,9476,133,13,189,351,0,7,131,5167,5133,561,1997,1014,1083,1480,1799,1163,673,530,39,10041,259,9739,9180,559,381,171,7,0,7796,4114,3682,4616,3839,304,16,0,0,12,0,0,0,0,104,28,313,33.5,3810,2.64,906,1213,670,646,234,85,56,1.87,309,958,1724,626,116,77,58582,211,215,405,564,253,307,392,833,215,238,128,49
Winchester,21374,18309,213,12,1992,405,8,40,395,10188,11186,1379,4749,902,1318,3215,3705,2646,1627,1833,43,21051,323,19995,16629,3366,2680,438,162,86,15715,7110,8605,7734,6393,420,0,0,20,129,0,0,0,11,236,0,525,27.6,7645,2.75,1665,2231,1289,1556,670,180,54,1.89,305,2040,3960,958,306,76,121572,256,386,396,299,263,431,387,835,678,437,1005,2272
Windsor,899,861,6,1,5,4,0,1,21,457,442,23,161,39,52,122,176,211,70,45,48,899,0,876,847,29,26,3,0,0,801,386,415,2023,1391,131,341,0,0,0,0,0,0,23,32,0,105,26.9,369,2.44,70,164,66,47,18,3,1,2.19,7,76,168,88,18,12,74750,6,8,25,32,18,36,60,68,61,7,38,10
Winthrop,17497,15486,329,19,209,1066,6,138,244,8458,9039,886,2268,1240,2150,2551,2974,2534,1518,1376,44,17445,52,16611,14320,2291,1017,658,342,274,14406,6510,7896,4765,4227,126,0,0,0,90,0,0,0,15,43,44,220,29.7,7783,2.24,2680,2562,1216,843,344,96,42,1.47,908,3345,2719,606,195,10,67535,519,684,536,593,563,580,802,1314,667,670,571,284
Woburn,38120,31130,1537,46,2770,1724,2,325,586,18449,19671,2263,5279,2836,5789,5404,5981,4502,2756,3310,41,37797,323,35857,28639,7218,4605,1846,569,198,30549,14482,16067,7280,5688,365,61,0,303,383,0,0,0,0,129,40,311,24.2,15524,2.43,4649,4833,2671,2053,877,305,136,1.7,1111,5744,6329,1613,534,193,71060,662,1143,905,1129,1382,1300,1716,2683,1882,1214,1022,486
Worcester,181045,107814,18501,427,10927,37818,52,1289,4217,88150,92895,11874,28068,27721,26580,23500,24073,18071,9872,11286,33,168893,12152,169171,114309,54862,23917,17567,10327,3051,145521,69274,76247,8111,7353,485,34,12,0,33,0,0,0,24,16,47,107,22.8,68613,2.46,21846,20033,11319,8585,4116,1666,1048,1.37,11116,30043,21128,4416,1449,461,45036,7675,8839,7226,7020,5994,5484,6925,8059,4512,3038,2283,1558
Worthington,1156,1112,1,0,11,14,0,0,18,571,585,36,139,64,74,139,250,267,125,62,51,1156,0,1120,1097,23,17,0,6,0,982,490,492,28719,23717,3034,322,0,79,252,0,71,0,67,362,122,693,37.9,522,2.21,136,248,67,44,19,5,3,1.9,15,145,270,69,18,5,61100,31,38,52,52,54,23,78,70,35,50,15,24
Wrentham,10955,10541,60,16,112,133,0,6,87,5400,5555,575,2283,650,757,1535,2213,1529,653,760,44,10406,549,10380,10006,374,286,62,20,6,8143,3963,4180,3708,3040,460,12,0,0,0,0,0,24,0,14,20,138,30.7,3703,2.81,723,1107,667,734,339,99,34,1.97,121,985,1775,575,197,50,94406,88,184,161,221,229,126,459,443,439,389,465,499
Yarmouth,23793,21698,448,59,258,621,3,281,425,11067,12726,1016,2745,1351,2127,2553,3377,3631,3172,3821,51,23624,169,22777,20709,2068,1551,335,182,0,20618,9596,11022,14161,12300,898,35,0,124,164,0,0,0,0,172,30,438,21.4,11229,2.1,3965,4430,1387,902,352,126,67,1.57,717,4972,4270,1004,185,81,48653,755,971,1245,1356,1375,1029,1519,1152,808,386,283,350
